GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,kalshi_market_ticker,kalshi_event_ticker,kalshi_market_title,kalshi_market_subtitle,kalshi_market_status,kalshi_market_source,kalshi_yes_price,kalshi_yes_price_pregame,kalshi_pregame_sampled_ts,kalshi_no_price,kalshi_last_price,kalshi_price_home_win,kalshi_yes_team,kalshi_volume,kalshi_close_time,kalshi_settlement_ts
2026-02-24,TOR,OKC,KXNBAGAME-26FEB24OKCTOR-OKC,KXNBAGAME-26FEB24OKCTOR,Oklahoma City at Toronto Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,OKC,4912394.0,2026-02-25T03:12:53Z,2026-02-25T03:14:25.710438Z
2026-02-28,WAS,TOR,KXNBAGAME-26FEB28TORWAS-WAS,KXNBAGAME-26FEB28TORWAS,Toronto at Washington Winner?,,finalized,historical,0.005,0.125,2026-02-28T23:51:00+00:00,0.995,0.01,0.125,WAS,4898847.0,2026-03-01T02:41:54Z,2026-03-01T02:43:27.071001Z
2026-02-09,MIA,UTA,KXNBAGAME-26FEB09UTAMIA-UTA,KXNBAGAME-26FEB09UTAMIA,Utah at Miami Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,UTA,4851178.0,2026-02-10T03:25:36Z,2026-02-10T03:27:10.77067Z
2026-03-06,CHA,MIA,KXNBAGAME-26MAR06MIACHA-MIA,KXNBAGAME-26MAR06MIACHA,Miami at Charlotte Winner?,,finalized,live,0.995,0.285,2026-03-06T23:48:00+00:00,0.005,0.99,0.715,MIA,4788658.0,2026-03-07T02:38:10Z,2026-03-07T02:39:49.401668Z
2026-03-05,PHX,CHI,KXNBAGAME-26MAR05CHIPHX-CHI,KXNBAGAME-26MAR05CHIPHX,Chicago at Phoenix Winner?,,finalized,live,0.995,0.165,2026-03-06T01:51:00+00:00,0.005,0.99,0.835,CHI,4740855.0,2026-03-06T04:41:54Z,2026-03-06T04:43:28.85089Z
2026-03-06,DEN,NYK,KXNBAGAME-26MAR06NYKDEN-NYK,KXNBAGAME-26MAR06NYKDEN,New York at Denver Winner?,,finalized,live,0.995,0.485,2026-03-07T01:48:00+00:00,0.005,0.99,0.515,NYK,4631575.0,2026-03-07T04:38:04Z,2026-03-07T04:39:39.408127Z
2026-03-07,MIN,ORL,KXNBAGAME-26MAR07ORLMIN-MIN,KXNBAGAME-26MAR07ORLMIN,Orlando at Minnesota Winner?,,finalized,live,0.005,0.705,2026-03-07T19:58:00+00:00,0.995,0.01,0.705,MIN,4590049.0,2026-03-07T22:48:09Z,2026-03-07T22:49:38.935027Z
2026-03-14,MIA,ORL,KXNBAGAME-26MAR14ORLMIA-ORL,KXNBAGAME-26MAR14ORLMIA,Orlando at Miami Winner?,,finalized,live,0.995,0.375,2026-03-14T23:58:00+00:00,0.005,0.99,0.625,ORL,4529366.0,2026-03-15T02:48:04Z,2026-03-15T02:49:39.867693Z
2026-03-20,BKN,NYK,KXNBAGAME-26MAR20NYKBKN-BKN,KXNBAGAME-26MAR20NYKBKN,New York at Brooklyn Winner?,,finalized,live,0.005,0.055,2026-03-20T23:31:00+00:00,0.995,0.01,0.055,BKN,4521681.0,2026-03-21T02:21:02Z,2026-03-21T02:22:41.311613Z
2026-02-19,NYK,DET,KXNBAGAME-26FEB19DETNYK-NYK,KXNBAGAME-26FEB19DETNYK,Detroit at New York Winner?,,finalized,historical,0.005,,,0.995,0.01,0.005,NYK,4473637.0,2026-02-20T03:16:45Z,2026-02-20T03:18:20.762604Z
