GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,home_REST_DAYS,away_REST_DAYS,home_SPLIT_WIN_PCT,away_SPLIT_WIN_PCT,home_ROLLING_5_WIN,home_ROLLING_10_WIN,away_ROLLING_5_WIN,away_ROLLING_10_WIN,home_ROLLING_5_OFF_RATING,home_ROLLING_5_DEF_RATING,home_ROLLING_5_PACE,away_ROLLING_5_OFF_RATING,away_ROLLING_5_DEF_RATING,away_ROLLING_5_PACE,home_WIN,kalshi_market_ticker,kalshi_event_ticker,kalshi_market_title,kalshi_market_subtitle,kalshi_market_status,kalshi_market_source,kalshi_yes_price,kalshi_no_price,kalshi_last_price,kalshi_price_home_win,kalshi_yes_team,kalshi_volume,kalshi_close_time,kalshi_settlement_ts
2025-12-07,CHI,GSW,1.0,0.0,0.6153846153846154,0.375,0.0,0.3,0.4,0.4,105.7,114.0,102.7,106.68000000000002,107.8,96.0,0,KXNBAGAME-25DEC07GSWCHI-GSW,KXNBAGAME-25DEC07GSWCHI,Golden State vs Chicago Winner?,,finalized,live,0.5,0.5,0.99,0.5,GSW,2209345.0,2025-12-08T02:29:51.579345Z,2025-12-08T02:39:11.493712Z
2025-12-14,CHI,NOP,1.0,2.0,0.5714285714285714,0.0833333333333333,0.2,0.2,0.2,0.2,108.08,121.12,100.8,118.44,121.6,104.596,0,KXNBAGAME-25DEC14NOPCHI-CHI,KXNBAGAME-25DEC14NOPCHI,New Orleans vs Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,CHI,2450832.0,2025-12-15T02:50:14.729386Z,2025-12-15T02:59:45.014645Z
2025-12-17,CHI,CLE,2.0,2.0,0.5333333333333333,0.4615384615384615,0.2,0.2,0.4,0.4,106.26,120.34,99.6,112.32,113.96,100.19,1,KXNBAGAME-25DEC17CLECHI-CLE,KXNBAGAME-25DEC17CLECHI,Cleveland vs Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,CLE,3528101.0,2025-12-18T03:41:05.137345Z,2025-12-18T03:50:31.425382Z
2025-12-26,CHI,PHI,2.0,2.0,0.5625,0.5384615384615384,0.8,0.5,0.6,0.6,121.24,117.46,106.1,115.06,112.44,99.8,1,KXNBAGAME-25DEC26PHICHI-CHI,KXNBAGAME-25DEC26PHICHI,Philadelphia vs Chicago Winner?,,finalized,live,0.5,0.5,0.99,0.5,CHI,4956421.0,2025-12-27T03:20:17.091856Z,2025-12-27T03:29:41.914342Z
2025-12-27,CHI,MIL,0.0,0.0,0.5882352941176471,0.3529411764705882,1.0,0.6,0.2,0.3,122.66,115.92,105.5,101.26,113.32,99.0,0,KXNBAGAME-25DEC27MILCHI-CHI,KXNBAGAME-25DEC27MILCHI,Milwaukee vs Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,CHI,2281732.0,2025-12-28T04:00:44.204537Z,2025-12-28T04:10:11.98184Z
2025-12-29,CHI,MIN,1.0,1.0,0.5555555555555556,0.5,0.8,0.6,0.6,0.6,119.93999999999998,118.52,103.5,110.52,111.14,101.474,0,KXNBAGAME-25DEC29MINCHI-CHI,KXNBAGAME-25DEC29MINCHI,Minnesota vs Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,CHI,687214.0,2025-12-30T03:44:38.096512Z,2025-12-30T03:54:01.681251Z
2025-12-31,CHI,NOP,1.0,1.0,0.5263157894736842,0.1428571428571428,0.6,0.6,0.2,0.5,114.14,121.32,102.8,113.08,120.2,103.5,1,KXNBAGAME-25DEC31NOPCHI-CHI,KXNBAGAME-25DEC31NOPCHI,New Orleans vs Chicago Winner?,,finalized,live,0.5,0.5,0.99,0.5,CHI,2482657.0,2026-01-01T02:40:18.272084Z,2026-01-01T02:49:46.571272Z
2026-01-02,CHI,ORL,1.0,1.0,0.55,0.5,0.6,0.7,0.6,0.5,111.52,115.8,102.3,111.92,114.28,100.0,1,KXNBAGAME-26JAN02ORLCHI-CHI,KXNBAGAME-26JAN02ORLCHI,Orlando vs Chicago Winner?,,finalized,live,0.5,0.5,0.99,0.5,CHI,2826029.0,2026-01-03T03:40:48.194246Z,2026-01-03T03:52:35.507793Z
2026-01-03,CHI,CHA,0.0,0.0,0.5714285714285714,0.25,0.6,0.7,0.4,0.4,112.62,115.6,100.7,125.54,121.56,96.8,0,KXNBAGAME-26JAN03CHACHI-CHI,KXNBAGAME-26JAN03CHACHI,Charlotte vs Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,CHI,1422424.0,2026-01-04T03:34:39.937902Z,2026-01-04T03:44:09.402623Z
2026-01-10,CHI,DAL,2.0,1.0,0.5454545454545454,0.3,0.4,0.5,0.4,0.3,111.88,115.42,98.0,107.96,111.2,102.2,1,KXNBAGAME-26JAN10DALCHI-DAL,KXNBAGAME-26JAN10DALCHI,Dallas at Chicago Winner?,,finalized,live,0.5,0.5,0.01,0.5,DAL,1036885.0,2026-01-11T03:29:44.015097Z,2026-01-11T03:39:07.611881Z
